SDK_Name,Category,Path_Status,Full_Path
google_api_core-2.19.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_api_core-2.19.0.dist-info
google_api_core-2.29.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_api_core-2.29.0.dist-info
google_api_core-2.30.3.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_api_core-2.30.3.dist-info
google_auth-2.29.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_auth-2.29.0.dist-info
google_auth-2.53.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_auth-2.53.0.dist-info
google_cloud_core-2.4.1.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_cloud_core-2.4.1.dist-info
google_cloud_core-2.6.0.dist-info,系統層_雲端積木 (Base_Cloud),OK,C:\Genesis\Library\LibOption\google_cloud_core-2.6.0.dist-info
grpc,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\grpc
grpcio-1.80.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\grpcio-1.80.0.dist-info
grpcio_status-1.62.2.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\grpcio_status-1.62.2.dist-info
grpc_status,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\grpc_status
gtts,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\gtts
gTTS-2.5.4.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\gTTS-2.5.4.dist-info
idna,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\idna
idna-3.17.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\idna-3.17.dist-info
LibrarySystem,帝國層_知識積木 (Core_Knowledge),OK,C:\Genesis\Library\LibOption\LibrarySystem
markdown_it,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\markdown_it
markdown_it_py-4.2.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\markdown_it_py-4.2.0.dist-info
mdurl,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\mdurl
mdurl-0.1.2.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\mdurl-0.1.2.dist-info
proto,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\proto
protobuf-4.25.3.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\protobuf-4.25.3.dist-info
protobuf-4.25.9.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\protobuf-4.25.9.dist-info
protobuf-5.26.1.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\protobuf-5.26.1.dist-info
protobuf-7.35.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\protobuf-7.35.0.dist-info
proto_plus-1.27.1.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\proto_plus-1.27.1.dist-info
proto_plus-1.28.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\proto_plus-1.28.0.dist-info
pyasn1,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pyasn1
pyasn1-0.6.3.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pyasn1-0.6.3.dist-info
pyasn1_modules,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pyasn1_modules
pyasn1_modules-0.4.2.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pyasn1_modules-0.4.2.dist-info
pycparser,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pycparser
pycparser-3.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pycparser-3.0.dist-info
pygments,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pygments
pygments-2.20.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\pygments-2.20.0.dist-info
requests,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\requests
requests-2.34.2.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\requests-2.34.2.dist-info
rich,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\rich
rich-15.0.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\rich-15.0.0.dist-info
rsa,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\rsa
rsa-4.9.1.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\rsa-4.9.1.dist-info
shellingham,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\shellingham
shellingham-1.5.4.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\shellingham-1.5.4.dist-info
typer,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\typer
typer-0.26.3.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\typer-0.26.3.dist-info
typer-0.9.4.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\typer-0.9.4.dist-info
typing_extensions-4.15.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\typing_extensions-4.15.0.dist-info
urllib3,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\urllib3
urllib3-2.7.0.dist-info,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\urllib3-2.7.0.dist-info
__pycache__,產品層_通用積木 (General_App),OK,C:\Genesis\Library\LibOption\__pycache__
